id,date,proposalx,d1e1,d2e1,d3e1,turnoutx,titel_kurz_d,age,age_category,part,vote_x,educ
1220068.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,28.0,class25,did,yes (accepted),9
1220069.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,93.0,class75,did,no (rejected),5
1220070.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,27.0,class25,did not,,5
1220071.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did,no (rejected),5
1220072.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,31.0,class25,did not,,99
1220073.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did not,,3
1220074.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,37.0,class35,did,yes (accepted),2
1220075.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,84.0,class75,did not,,5
1220076.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,55.0,class55,did,no (rejected),8
1220077.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did not,,3
1220078.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did,no (rejected),5
1220079.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,no (rejected),2
1220080.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,20.0,class18,did not,,5
1220081.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,96.0,class75,did,no (rejected),8
1220082.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,55.0,class55,did not,,5
1220083.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,no (rejected),3
1220084.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did,don’t know,5
1220085.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,89.0,class75,did,yes (accepted),5
1220086.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,29.0,class25,did not,,5
1220087.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did not,,2
1220088.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,45.0,class45,did,yes (accepted),2
1220089.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,39.0,class35,did not,,2
1220090.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,86.0,class75,did,no (rejected),9
1220091.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did,no (rejected),8
1220092.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did not,,5
1220093.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,64.0,class55,did,yes (accepted),5
1220094.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did not,,5
1220095.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did,yes (accepted),8
1220096.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,yes (accepted),5
1220097.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,27.0,class25,did not,,5
1220098.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,yes (accepted),2
